icao24,callsign,country_icao,time_at_position,longitude,latitude,altitude,on_ground,speed_kmh,true_track,vertical_rate,sensors,geo_altitude,spi,located_at
3e67b9,DKEMB   ,Germany,12:18:04,10.0621,50.4852,1424.94,False,26.71,195.64,-0.33,,,False,Frankfurt Airport
440065,EJU48YF ,Austria,12:18:05,10.9382,50.8867,10934.7,False,241.43,54.28,-5.2,,11247.12,False,Leipzig/Halle Airport
45202a,GPX7EJ  ,Bulgaria,12:18:04,17.5163,49.6376,11285.22,False,240.53,168.4,0.0,,,False,M. R. Štefánik Airport
3c4a03,DLH752  ,Germany,12:18:04,11.95,48.5189,9448.8,False,286.7,102.54,-0.98,,9837.42,False,Munich Airport
44004f,AUA732  ,Austria,12:17:32,16.5729,48.1156,,True,2.06,25.31,,,,False,Vienna International Airport
452037,GPX8TD  ,Bulgaria,12:18:04,13.1053,47.2051,11269.98,False,258.1,137.18,0.0,,11391.9,False,Ljubljana Jože Pučnik Airport
452033,GPX5SA  ,Bulgaria,12:18:04,9.2237,48.6753,289.56,True,15.43,253.12,,,,False,Stuttgart Airport
440053,EJU3767 ,Austria,12:18:03,8.5912,45.4029,5067.3,False,189.75,183.89,11.38,,5387.34,False,Milan Malpensa International Airport
44006e,AUA208  ,Austria,12:15:15,16.5682,48.1187,,True,0.0,205.31,,,,False,Vienna International Airport
4b0f3e,P02C    ,Switzerland,12:17:59,8.4015,46.9707,,True,0.13,163.12,,,,False,Zürich Airport
3d34b9,DESFH   ,Germany,12:18:03,8.6655,54.3016,198.12,False,44.25,162.41,-0.33,,312.42,False,Hamburg Helmut Schmidt Airport
440015,OECRA   ,Austria,12:18:04,14.3998,48.6309,1219.2,False,43.52,28.99,-0.33,,1333.5,False,Václav Havel Airport Prague
49f07b,PTACNIK1,Czech Republic,12:18:02,14.2706,50.089,,True,2.57,247.5,,,,False,Václav Havel Airport Prague
440002,AUA51   ,Austria,12:18:04,17.0701,48.0619,3116.58,False,177.3,111.8,4.88,,3307.08,False,M. R. Štefánik Airport
3eda73,DKXRN   ,Germany,12:18:03,11.8654,52.1339,1432.56,False,23.25,294.86,-0.33,,1584.96,False,Leipzig/Halle Airport
3ffa55,DMQEL   ,Germany,12:18:04,12.6467,48.4935,800.1,False,53.18,347.71,-0.98,,952.5,False,Munich Airport
3d3618,DESSU   ,Germany,12:18:04,10.0481,47.8566,899.16,False,58.21,236.17,-0.33,,1043.94,False,Stuttgart Airport
44001d,OEDHF   ,Austria,12:18:04,16.2337,47.3857,1280.16,False,52.97,101.2,-0.33,,1440.18,False,Vienna International Airport
44001b,AUA5ZC  ,Austria,12:18:04,8.4765,47.3811,2316.48,False,117.54,133.4,16.58,,2499.36,False,Zürich Airport
44001a,AUA432D ,Austria,12:18:04,13.9577,46.8281,10287.0,False,269.01,68.34,-4.88,,10767.06,False,Ljubljana Jože Pučnik Airport
3c4a8c,DLH492  ,Germany,12:18:04,8.1476,51.8755,9753.6,False,241.08,357.06,0.33,,10027.92,False,Düsseldorf Airport
405637,EZY47NE ,United Kingdom,12:18:04,8.4103,47.574,1089.66,False,95.03,137.41,-7.15,,1249.68,False,Zürich Airport
405633,EZY69JG ,United Kingdom,12:18:05,9.5054,48.1535,11894.82,False,242.17,145.3,0.0,,12329.16,False,Stuttgart Airport
4891ab,ENT7043 ,Poland,12:18:05,18.596,50.1464,11277.6,False,246.62,149.96,0.0,,11590.02,False,Kraków John Paul II International Airport
3d2372,DELRE   ,Germany,12:18:00,12.4588,48.6571,1005.84,False,43.41,121.43,-1.95,,1143.0,False,Munich Airport
3d3699,DESXT   ,Germany,12:18:04,8.7229,50.2908,518.16,False,57.14,133.18,-0.33,,,False,Frankfurt Airport
3d2301,DELMV   ,Germany,12:18:04,9.59,49.5132,2286.0,False,63.78,138.6,0.65,,2461.26,False,Frankfurt Airport
89619a,UAE76J  ,United Arab Emirates,12:18:04,19.4448,47.3291,861.06,False,89.56,312.67,-1.63,,998.22,False,Budapest Liszt Ferenc International Airport
4b0dd0,HUE12P  ,Switzerland,12:17:53,8.571,47.4575,350.52,True,0.0,275.62,,,,False,Zürich Airport
a4c2ff,CMB406  ,United States,12:18:04,8.6285,49.0981,3657.6,False,131.14,297.07,0.0,,3893.82,False,Stuttgart Airport
896189,UAE62T  ,United Arab Emirates,12:18:04,6.9757,50.5361,12192.0,False,221.63,291.8,0.0,,12573.0,False,Cologne Bonn Airport
3d2390,DELSI   ,Germany,12:18:04,8.4146,53.0496,396.24,False,52.29,336.21,-0.33,,480.06,False,Hannover Airport
506df0,S5DVV   ,Slovenia,12:18:04,10.292,48.9499,1066.8,False,59.3,176.02,-2.28,,1219.2,False,Nuremberg Airport
50014c,T7DNH   ,San Marino,12:18:04,16.6432,53.4529,11277.6,False,213.17,135.2,0.0,,11452.86,False,Gdańsk Lech Wałęsa Airport
440170,EJU35CQ ,Austria,12:18:05,10.491,52.9902,3870.96,False,187.94,336.1,-14.63,,4038.6,False,Hamburg Helmut Schmidt Airport
471dbd,WZZ1186 ,Hungary,12:18:04,11.3289,47.8518,9753.6,False,214.41,261.31,-0.33,,10172.7,False,Munich Airport
45caa8,AIZ911  ,Denmark,12:18:04,9.1208,49.912,10972.8,False,209.47,294.68,0.0,,11353.8,False,Frankfurt Airport
47873f,NOZ1577 ,Norway,11:20:09,19.9057,51.4341,11582.4,False,248.27,340.89,0.33,,11871.96,False,Warsaw Chopin Airport
471dbb,WZZ5LG  ,Hungary,12:18:04,7.6675,51.8847,6096.0,False,190.9,255.96,0.0,,6347.46,False,Düsseldorf Airport
471dba,WZZ59MH ,Hungary,12:18:04,17.9756,47.5431,7909.56,False,184.14,282.09,8.13,,8267.7,False,M. R. Štefánik Airport
4b0e43,,Switzerland,12:17:44,9.2593,47.5087,,True,3.09,255.94,,,,False,Zürich Airport
440154,OEFAF   ,Austria,12:18:04,6.9403,50.3332,11582.4,False,179.02,295.53,0.0,,11917.68,False,Cologne Bonn Airport
440160,OEDBW   ,Austria,12:18:04,13.0268,47.8274,548.64,False,46.47,63.72,0.33,,693.42,False,Munich Airport
300a5b,SLJ102  ,Italy,12:18:04,6.2683,48.4767,12496.8,False,209.78,349.54,0.0,,12984.48,False,Luxembourg-Findel International Airport
471daf,WZZ542  ,Hungary,12:18:04,8.8201,45.3851,1303.02,False,123.27,307.54,-4.23,,1463.04,False,Milan Malpensa International Airport
