flight_date,flight_status,departure,arrival,airline,flight,aircraft,live
2025-07-25,active,"{'airport': 'Wuxi', 'timezone': 'Asia/Shanghai', 'iata': 'WUX', 'icao': 'ZSWX', 'terminal': None, 'gate': None, 'delay': 18, 'scheduled': '2025-07-25T00:45:00+00:00', 'estimated': '2025-07-25T00:45:00+00:00', 'actual': '2025-07-25T01:02:00+00:00', 'estimated_runway': '2025-07-25T01:02:00+00:00', 'actual_runway': '2025-07-25T01:02:00+00:00'}","{'airport': 'Shenzhen', 'timezone': 'Asia/Shanghai', 'iata': 'SZX', 'icao': 'ZGSZ', 'terminal': None, 'gate': None, 'baggage': None, 'scheduled': '2025-07-25T03:15:00+00:00', 'delay': None, 'estimated': None, 'actual': None, 'estimated_runway': None, 'actual_runway': None}","{'name': 'SF Airlines', 'iata': 'O3', 'icao': 'CSS'}","{'number': '6840', 'iata': 'O36840', 'icao': 'CSS6840', 'codeshared': None}",,
2025-07-25,scheduled,"{'airport': 'Tianhe International', 'timezone': 'Asia/Shanghai', 'iata': 'WUH', 'icao': 'ZHHH', 'terminal': '2', 'gate': 'B', 'delay': None, 'scheduled': '2025-07-25T09:35:00+00:00', 'estimated': '2025-07-25T09:35:00+00:00', 'actual': None, 'estimated_runway': None, 'actual_runway': None}","{'airport': 'Jinan', 'timezone': 'Asia/Shanghai', 'iata': 'TNA', 'icao': 'ZSJN', 'terminal': None, 'gate': None, 'baggage': None, 'scheduled': '2025-07-25T11:05:00+00:00', 'delay': None, 'estimated': None, 'actual': None, 'estimated_runway': None, 'actual_runway': None}","{'name': 'Shandong Airlines', 'iata': 'SC', 'icao': 'CDG'}","{'number': '8872', 'iata': 'SC8872', 'icao': 'CDG8872', 'codeshared': None}",,
2025-07-25,scheduled,"{'airport': 'Guangzhou Baiyun International', 'timezone': 'Asia/Shanghai', 'iata': 'CAN', 'icao': 'ZGGG', 'terminal': '1', 'gate': None, 'delay': None, 'scheduled': '2025-07-25T08:15:00+00:00', 'estimated': '2025-07-25T08:15:00+00:00', 'actual': None, 'estimated_runway': None, 'actual_runway': None}","{'airport': 'Jinan', 'timezone': 'Asia/Shanghai', 'iata': 'TNA', 'icao': 'ZSJN', 'terminal': None, 'gate': None, 'baggage': None, 'scheduled': '2025-07-25T10:55:00+00:00', 'delay': None, 'estimated': None, 'actual': None, 'estimated_runway': None, 'actual_runway': None}","{'name': 'Shenzhen Airlines', 'iata': 'ZH', 'icao': 'CSZ'}","{'number': '9971', 'iata': 'ZH9971', 'icao': 'CSZ9971', 'codeshared': None}",,
2025-07-25,scheduled,"{'airport': 'Kashi', 'timezone': 'Asia/Shanghai', 'iata': 'KHG', 'icao': 'ZWSH', 'terminal': 'T2', 'gate': None, 'delay': None, 'scheduled': '2025-07-25T11:05:00+00:00', 'estimated': '2025-07-25T11:05:00+00:00', 'actual': None, 'estimated_runway': None, 'actual_runway': None}","{'airport': 'Zhengzhou', 'timezone': 'Asia/Shanghai', 'iata': 'CGO', 'icao': 'ZHCC', 'terminal': '2', 'gate': None, 'baggage': None, 'scheduled': '2025-07-25T15:50:00+00:00', 'delay': None, 'estimated': None, 'actual': None, 'estimated_runway': None, 'actual_runway': None}","{'name': 'China Southern Airlines', 'iata': 'CZ', 'icao': 'CSN'}","{'number': '6859', 'iata': 'CZ6859', 'icao': 'CSN6859', 'codeshared': None}",,
2025-07-25,scheduled,"{'airport': 'Kashi', 'timezone': 'Asia/Shanghai', 'iata': 'KHG', 'icao': 'ZWSH', 'terminal': 'T2', 'gate': None, 'delay': None, 'scheduled': '2025-07-25T11:05:00+00:00', 'estimated': '2025-07-25T11:05:00+00:00', 'actual': None, 'estimated_runway': None, 'actual_runway': None}","{'airport': 'Zhengzhou', 'timezone': 'Asia/Shanghai', 'iata': 'CGO', 'icao': 'ZHCC', 'terminal': '2', 'gate': None, 'baggage': None, 'scheduled': '2025-07-25T15:50:00+00:00', 'delay': None, 'estimated': None, 'actual': None, 'estimated_runway': None, 'actual_runway': None}","{'name': 'Sichuan Airlines', 'iata': '3U', 'icao': 'CSC'}","{'number': '1795', 'iata': '3U1795', 'icao': 'CSC1795', 'codeshared': {'airline_name': 'china southern airlines', 'airline_iata': 'cz', 'airline_icao': 'csn', 'flight_number': '6859', 'flight_iata': 'cz6859', 'flight_icao': 'csn6859'}}",,
